;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170418OPT;What a waste...;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME170419;The Treaty of Olivenza ;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC170419;While the occasional partisan peeks his rifle out to take potshots at Spanish dignataries in the streets every so often, Portugal is, for the most part, firmly in our grasp. The peninsula is once again united and Iberia stands on the precipice of a new age. .;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170419OPT;Not united yet. There is still one last holdover...;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME170420;Spain Demands Perpignan!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC170420;In an act of impudence bordering on outright hostility, the Spanish have reasserted their claim on province of Rousillon, ceded to us over a century ago, and have expelled our diplomats without warning. Perpignan being the a key bastion on the Pyrenees against potential Spanish incursions, surrendering it would be a massive blow to French national security and prestige. Unfortunately, ignoring such a ridiculous claim as should be appropriate would do nothing to refute their claim to Rousillon. The only way to rebuke this act of insolence is through force, with all the cost it would incur for both our nations.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170420OPTA;They have forced our hand. To arms!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170420OPTB;Who cares about the prattling of ruined empires?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170420OPTC;For the sake of peace, we will concede to their rightful claim.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME170421;France Surrenders Perpignan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC170421;The cowardly French have acknowledged our supremacy and handed back our rightful lands. The tricolour that has flown so insultingly over Perpignan has finally been removed and replaced with our proud flag. Once again, we control the northern piedmont of the Pyrenees.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170421OPT;And so we shall, now and in perpetuity...;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME170422;The Loss of Perpignan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC170422;Despite the protection of the mountains, Perpignan has fallen back to Spanish hands. With it goes our control over eastern portion of the Pyrenees and the defenses it afforded the southern flatlands of France. Already, Spanish newspapers gloat over the victory while our domestic press is in conniptions. What awaits after the fingerpointing is uncertain. All we know now is that we have lost a vital part of our nation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170422OPT;We took Rousillon once. We can do it again.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME170423;The Disaster of Perpignan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC170423; How is it that Perpignan is so close to us, yet still always out of our grasp? Logistical difficulties and attrition from mountain terrain blunted the force of our assault until it was ground to a halt. Humiliated and bruised, all we can do now is lick our wounds and give up on our dreams of restoring our borders to their former glory.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT170423OPT;There are more fruitful ventures elsewhere...;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
gib_gibraltar_title;Reclaim Gibraltar;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
gib_gibraltar_desc;The Rock of Gibraltar sits fortified at the mouth of the Mediterranean Sea at its narrowest point, allowing its owner complete control over naval movement into and out of the maritime heart of Europe. Ever since our ignominious defeat during the Succession War of 1700, the perfidious British have held this vital fortification despite our best efforts at reclaiming it and now hold Mediterranean commerce as their captive. If we are to ever truly reclaim our ancestral greatness, we must correct this ancestral wrong, even if it brings us to war with those who occupy Gibraltar.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
gibraltar_gibben_title;Cement our claim on Gibraltar;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
gibraltar_gibben_desc;The Rock of Gibraltar sits fortified at the mouth of the Mediterranean Sea at its narrowest point, allowing its owner complete control over naval movement into and out of the maritime heart of Europe. While we have reclaimed it from British occupation already, we must cement our claim on Gibraltar if we are to truly reclaim our ancestral greatness.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
poor_portugal_title;Reunite with Portugal;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
poor_portugal_desc;Ever since the founding days of the United Spanish Crown, the monarchs of Aragon and Castile have sought to bind the lands of Portugal in union with the other Spanish Kingdoms. While our last attempt to bring Portugal into the fold were frustrated in 1640, our recent restoration to the world stage begs the question of if we can restore Portugal to its rightful place in a united Iberian peninsula.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
poor_poor_portugal_title;Union with Portugal;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
poor_poor_portugal_desc;At long last, we have finally fulfilled the long sought after dream of generations of Spanish monarchs: Portugal is united with Aragon and Castile once more. With this, we are now one step closer to actualizing a united Iberian peninsula, uncontested and unbreakable by any outsiders!;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rule_rousillon_title;Reclaim Perpignan;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rule_rousillon_desc;For centuries, Perpignan stood as our stalwart guardian against French aggression. With the Pyrenees to its back and the Gulf of Lion to its side, it acted as one of the chokepoints that defended us against French numerical superiority until it was taken in 1642. Now, with the might of all Iberia at our back, we can avenge this injustice and reclaim la Fedelissima, the Most Faithful City!;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
initialise_iberia_title;Unite Iberia!;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
initialise_iberia_desc;No longer is Iberia divided between feuding cousins, picked apart by spiteful foreigners, or torn apart by warring brothers. We have forged a new Iberia, tempered by war and united in dreams of greatness. But we are not simply reclaiming the glory of our forefathers. No, our union will be greater than the sum of the kingdoms united. Mi emperador, it is time to the announce the Iberian Union and let the world tremble before it.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
